N,M,max_steps,steps_taken,failed_to_finish
50,20,10000000,26851,false
50,20,10000000,16557,false
50,20,10000000,39938,false
50,20,10000000,14741,false
50,20,10000000,20226,false
50,20,10000000,38288,false
50,20,10000000,10239,false
50,20,10000000,18410,false
50,20,10000000,21427,false
50,20,10000000,11387,false
50,20,10000000,36771,false
50,20,10000000,9421,false
50,20,10000000,33926,false
50,20,10000000,21481,false
50,20,10000000,13942,false
50,20,10000000,25484,false
50,20,10000000,34302,false
50,20,10000000,16412,false
50,20,10000000,29642,false
50,20,10000000,30098,false
50,20,10000000,21371,false
50,20,10000000,19561,false
50,20,10000000,20865,false
50,20,10000000,37456,false
50,20,10000000,31421,false
50,20,10000000,23158,false
50,20,10000000,47785,false
50,20,10000000,14584,false
50,20,10000000,14175,false
50,20,10000000,12223,false
50,20,10000000,29916,false
50,20,10000000,25195,false
50,20,10000000,26275,false
50,20,10000000,32610,false
50,20,10000000,20915,false
50,20,10000000,13338,false
50,20,10000000,30000,false
50,20,10000000,26016,false
50,20,10000000,18108,false
50,20,10000000,21186,false
50,20,10000000,31349,false
50,20,10000000,29857,false
50,20,10000000,8315,false
50,20,10000000,43550,false
50,20,10000000,20790,false
50,20,10000000,20923,false
50,20,10000000,25336,false
50,20,10000000,9393,false
50,20,10000000,11841,false
50,20,10000000,16996,false
50,30,10000000,15625,false
50,30,10000000,17821,false
50,30,10000000,32675,false
50,30,10000000,17630,false
50,30,10000000,14763,false
50,30,10000000,22072,false
50,30,10000000,36223,false
50,30,10000000,10944,false
50,30,10000000,25535,false
50,30,10000000,29684,false
50,30,10000000,28712,false
50,30,10000000,17259,false
50,30,10000000,24423,false
50,30,10000000,13694,false
50,30,10000000,33844,false
50,30,10000000,26694,false
50,30,10000000,22266,false
50,30,10000000,17928,false
50,30,10000000,17678,false
50,30,10000000,23038,false
50,30,10000000,22905,false
50,30,10000000,22722,false
50,30,10000000,23658,false
50,30,10000000,28118,false
50,30,10000000,29036,false
50,30,10000000,14491,false
50,30,10000000,27730,false
50,30,10000000,11816,false
50,30,10000000,27705,false
50,30,10000000,23276,false
50,30,10000000,17088,false
50,30,10000000,22551,false
50,30,10000000,18026,false
50,30,10000000,30301,false
50,30,10000000,27533,false
50,30,10000000,26337,false
50,30,10000000,29314,false
50,30,10000000,24559,false
50,30,10000000,29007,false
50,30,10000000,15026,false
50,30,10000000,18756,false
50,30,10000000,28218,false
50,30,10000000,27745,false
50,30,10000000,36906,false
50,30,10000000,9548,false
50,30,10000000,65645,false
50,30,10000000,20892,false
50,30,10000000,22700,false
50,30,10000000,32254,false
50,30,10000000,22515,false
50,60,10000000,20015,false
50,60,10000000,14149,false
50,60,10000000,23678,false
50,60,10000000,28873,false
50,60,10000000,25668,false
50,60,10000000,24111,false
50,60,10000000,25394,false
50,60,10000000,40736,false
50,60,10000000,64907,false
50,60,10000000,17784,false
50,60,10000000,39306,false
50,60,10000000,32215,false
50,60,10000000,22130,false
50,60,10000000,22974,false
50,60,10000000,46846,false
50,60,10000000,39527,false
50,60,10000000,32789,false
50,60,10000000,24583,false
50,60,10000000,48605,false
50,60,10000000,12083,false
50,60,10000000,46984,false
50,60,10000000,16461,false
50,60,10000000,27637,false
50,60,10000000,30193,false
50,60,10000000,24206,false
50,60,10000000,17346,false
50,60,10000000,27684,false
50,60,10000000,16548,false
50,60,10000000,40523,false
50,60,10000000,34259,false
50,60,10000000,51126,false
50,60,10000000,23544,false
50,60,10000000,31210,false
50,60,10000000,20275,false
50,60,10000000,34680,false
50,60,10000000,37000,false
50,60,10000000,27744,false
50,60,10000000,12634,false
50,60,10000000,33080,false
50,60,10000000,35574,false
50,60,10000000,17648,false
50,60,10000000,17592,false
50,60,10000000,19220,false
50,60,10000000,37231,false
50,60,10000000,29941,false
50,60,10000000,27386,false
50,60,10000000,47812,false
50,60,10000000,19193,false
50,60,10000000,39144,false
50,60,10000000,22249,false
50,100,10000000,42320,false
50,100,10000000,46449,false
50,100,10000000,24533,false
50,100,10000000,52283,false
50,100,10000000,42786,false
50,100,10000000,40675,false
50,100,10000000,62808,false
50,100,10000000,32265,false
50,100,10000000,33310,false
50,100,10000000,16404,false
50,100,10000000,39232,false
50,100,10000000,22098,false
50,100,10000000,40440,false
50,100,10000000,29796,false
50,100,10000000,35301,false
50,100,10000000,21529,false
50,100,10000000,26932,false
50,100,10000000,16734,false
50,100,10000000,28139,false
50,100,10000000,23317,false
50,100,10000000,27773,false
50,100,10000000,80610,false
50,100,10000000,35434,false
50,100,10000000,34404,false
50,100,10000000,19159,false
50,100,10000000,34376,false
50,100,10000000,32184,false
50,100,10000000,29729,false
50,100,10000000,39002,false
50,100,10000000,20929,false
50,100,10000000,16118,false
50,100,10000000,23558,false
50,100,10000000,20345,false
50,100,10000000,9615,false
50,100,10000000,12293,false
50,100,10000000,19944,false
50,100,10000000,48473,false
50,100,10000000,22240,false
50,100,10000000,36487,false
50,100,10000000,52797,false
50,100,10000000,26620,false
50,100,10000000,29816,false
50,100,10000000,16116,false
50,100,10000000,26417,false
50,100,10000000,31693,false
50,100,10000000,26440,false
50,100,10000000,39089,false
50,100,10000000,14618,false
50,100,10000000,17571,false
50,100,10000000,29182,false
