N,M,max_steps,steps_taken,failed_to_finish
100,20,10000000,101725,false
100,20,10000000,54669,false
100,20,10000000,106848,false
100,20,10000000,65513,false
100,20,10000000,88266,false
100,20,10000000,187707,false
100,20,10000000,138686,false
100,20,10000000,122307,false
100,20,10000000,240301,false
100,20,10000000,225086,false
100,20,10000000,139405,false
100,20,10000000,139037,false
100,20,10000000,140371,false
100,20,10000000,132129,false
100,20,10000000,84079,false
100,20,10000000,90281,false
100,20,10000000,141416,false
100,20,10000000,59976,false
100,20,10000000,97653,false
100,20,10000000,161629,false
100,20,10000000,290190,false
100,20,10000000,95071,false
100,20,10000000,108884,false
100,20,10000000,62020,false
100,20,10000000,94520,false
100,20,10000000,49751,false
100,20,10000000,142080,false
100,20,10000000,61411,false
100,20,10000000,104217,false
100,20,10000000,84023,false
100,20,10000000,96583,false
100,20,10000000,229990,false
100,20,10000000,86452,false
100,20,10000000,92172,false
100,20,10000000,48380,false
100,20,10000000,39913,false
100,20,10000000,87779,false
100,20,10000000,58633,false
100,20,10000000,79492,false
100,20,10000000,78995,false
100,20,10000000,97245,false
100,20,10000000,113061,false
100,20,10000000,59111,false
100,20,10000000,62695,false
100,20,10000000,60430,false
100,20,10000000,84043,false
100,20,10000000,98753,false
100,20,10000000,54487,false
100,20,10000000,73739,false
100,20,10000000,88053,false
100,30,10000000,104807,false
100,30,10000000,158733,false
100,30,10000000,49670,false
100,30,10000000,232928,false
100,30,10000000,52969,false
100,30,10000000,183208,false
100,30,10000000,119713,false
100,30,10000000,142212,false
100,30,10000000,176099,false
100,30,10000000,64446,false
100,30,10000000,150552,false
100,30,10000000,71456,false
100,30,10000000,212551,false
100,30,10000000,138707,false
100,30,10000000,173729,false
100,30,10000000,87314,false
100,30,10000000,177560,false
100,30,10000000,73205,false
100,30,10000000,192935,false
100,30,10000000,181154,false
100,30,10000000,72637,false
100,30,10000000,148908,false
100,30,10000000,169254,false
100,30,10000000,95395,false
100,30,10000000,223339,false
100,30,10000000,114686,false
100,30,10000000,75272,false
100,30,10000000,126638,false
100,30,10000000,63604,false
100,30,10000000,180892,false
100,30,10000000,94231,false
100,30,10000000,215813,false
100,30,10000000,100321,false
100,30,10000000,79435,false
100,30,10000000,64880,false
100,30,10000000,294664,false
100,30,10000000,57871,false
100,30,10000000,107955,false
100,30,10000000,115547,false
100,30,10000000,98840,false
100,30,10000000,100522,false
100,30,10000000,89042,false
100,30,10000000,79891,false
100,30,10000000,107102,false
100,30,10000000,151682,false
100,30,10000000,94948,false
100,30,10000000,273526,false
100,30,10000000,87643,false
100,30,10000000,82816,false
100,30,10000000,136771,false
100,60,10000000,110810,false
100,60,10000000,169022,false
100,60,10000000,105431,false
100,60,10000000,76772,false
100,60,10000000,131972,false
100,60,10000000,135844,false
100,60,10000000,132284,false
100,60,10000000,120063,false
100,60,10000000,118299,false
100,60,10000000,88712,false
100,60,10000000,141538,false
100,60,10000000,389384,false
100,60,10000000,111452,false
100,60,10000000,81390,false
100,60,10000000,132939,false
100,60,10000000,244324,false
100,60,10000000,132423,false
100,60,10000000,225419,false
100,60,10000000,171744,false
100,60,10000000,149502,false
100,60,10000000,73919,false
100,60,10000000,183580,false
100,60,10000000,79410,false
100,60,10000000,100148,false
100,60,10000000,178062,false
100,60,10000000,222674,false
100,60,10000000,60479,false
100,60,10000000,243532,false
100,60,10000000,229754,false
100,60,10000000,288457,false
100,60,10000000,104094,false
100,60,10000000,97843,false
100,60,10000000,206895,false
100,60,10000000,93492,false
100,60,10000000,130737,false
100,60,10000000,109186,false
100,60,10000000,125049,false
100,60,10000000,107114,false
100,60,10000000,126902,false
100,60,10000000,103702,false
100,60,10000000,126708,false
100,60,10000000,221720,false
100,60,10000000,113903,false
100,60,10000000,96142,false
100,60,10000000,118953,false
100,60,10000000,68484,false
100,60,10000000,149192,false
100,60,10000000,99308,false
